Date,Close,High,Low,Open,Volume,Ticker
,SHEL,SHEL,SHEL,SHEL,SHEL,
2021-09-07,33.31736755371094,33.61655120571871,33.188553603085964,33.242571640708995,3110304,SHEL
2021-09-08,32.85197067260742,33.48358131418525,32.82703975815996,33.300746154213975,3965063,SHEL
2021-09-09,32.70237731933594,33.03480429099656,32.55278549911451,32.68575882398561,3886487,SHEL
2021-09-10,32.80210494995117,33.092976151506164,32.77717086820479,33.00987099970712,3928830,SHEL
2021-09-13,33.508514404296875,33.75368003656379,33.242574065394436,33.242574065394436,6071641,SHEL
2021-09-14,33.333980560302734,34.10271419573712,33.26334087477942,34.09024874185158,5310356,SHEL
2021-09-15,34.480857849121094,34.49747634464143,33.90742147565323,33.92404314143216,5699571,SHEL
2021-09-16,33.95729446411133,34.40607003497625,33.72875046869141,34.40607003497625,3981661,SHEL
2021-09-17,33.54175567626953,33.990531159412974,33.325677182789185,33.87417949432271,4509557,SHEL
2021-09-20,32.8187255859375,33.101287531561404,32.41981199307933,32.94338330972973,5523782,SHEL
2021-09-21,34.0486946105957,34.48084829026946,33.77859816451739,34.39773998441429,10815922,SHEL
2021-09-22,34.27309036254883,34.87145445451065,34.260621736037194,34.72186263895558,6229359,SHEL
2021-09-23,35.14570999145508,35.237127571653794,34.572273595757196,34.713556175225776,8434533,SHEL
2021-09-24,34.8880729675293,35.09583900700024,34.730171918824325,34.78003373933212,5378687,SHEL
2021-09-27,36.708106994628906,36.811990027559496,36.076499549324694,36.10143046274529,7267952,SHEL
2021-09-28,36.95743179321289,37.7386311226192,36.91587604047926,37.697078540144396,9512505,SHEL
2021-09-29,37.0405387878418,37.21148866313507,36.52943597466317,36.849394362808745,5864205,SHEL
2021-09-30,37.0405387878418,37.53502310341667,36.89925936639697,37.29816988432582,6267877,SHEL
2021-10-01,37.72200393676758,37.82921256391102,37.19012335028418,37.45606364352588,5399585,SHEL
2021-10-04,37.9630126953125,38.6320196261565,37.87159512658724,38.09598283975153,8077445,SHEL
2021-10-05,38.6694221496582,38.91874398415114,38.21233740351917,38.46996848637443,6626148,SHEL
2021-10-06,37.780189514160156,38.07106397672617,37.46438730258698,37.82589831298826,7143435,SHEL
2021-10-07,38.2538948059082,38.415952116592834,37.63890890132529,37.74694499494223,7115014,SHEL
2021-10-08,38.70265197753906,39.16804897988937,38.70265197753906,38.71927363872204,8666390,SHEL
2021-10-11,39.15974426269531,39.566967116091156,39.096085475327456,39.44230621784022,6026507,SHEL
2021-10-12,39.06833267211914,39.51710817019032,39.00184917440053,39.27609875416037,5994923,SHEL
2021-10-13,39.45061492919922,39.6376030887516,38.75252093914133,38.89380031831281,7010357,SHEL
2021-10-14,39.965885162353516,40.265068838919035,39.74980982386671,40.231825503687546,5560309,SHEL
2021-10-15,40.481143951416016,40.71384412647843,40.35648620038226,40.46452228389306,5178507,SHEL
2021-10-18,40.38972854614258,40.67229056877277,40.290001705878716,40.481146137325744,5068382,SHEL
2021-10-19,40.96315383911133,41.0171718690516,40.66397022965516,40.85511460897255,4475344,SHEL
2021-10-20,41.08781433105469,41.362067048285915,40.614107974253876,40.755390541685905,6833117,SHEL
2021-10-21,40.59749221801758,41.054580146596585,40.279277480667616,40.904988310017806,4566315,SHEL
2021-10-22,40.46451187133789,40.6057944237979,40.03235813772211,40.42295929835251,4391622,SHEL
2021-10-25,40.772010803222656,40.95484277149152,40.54346688006366,40.788632467657706,4869868,SHEL
2021-10-26,40.605796813964844,40.97977633336291,40.410496222153725,40.89666801224207,3395254,SHEL
2021-10-27,41.528282165527344,42.17651127507531,40.198577444847665,40.38972184457953,16960466,SHEL
2021-10-28,39.42568588256836,39.94161057115013,38.90328118573128,39.8910829921026,14544797,SHEL
2021-10-29,38.162471771240234,38.819013340060565,38.09183206542329,38.51982967982554,7518569,SHEL
2021-11-01,38.36192321777344,38.644485171645265,38.15000095980499,38.536445938331774,4981495,SHEL
2021-11-02,37.73032760620117,37.854985372563526,37.47685269326061,37.688771847154406,4611937,SHEL
2021-11-03,37.22336196899414,37.372953761294475,36.940800046899945,37.00728352666789,6074660,SHEL
2021-11-04,37.289852142333984,37.846666840347005,37.094551535648634,37.76355851289657,6636011,SHEL
2021-11-05,38.02949142456055,38.1873956308792,37.63473724927975,37.96300794578789,3898494,SHEL
2021-11-08,38.0544319152832,38.370234040617625,37.888218434957565,38.137537070316796,3702953,SHEL
2021-11-09,38.26218795776367,38.27049720298866,37.64304298487211,38.220635391123515,3490425,SHEL
2021-11-10,37.32999038696289,38.28738443704806,37.191419352435226,38.161410186812326,4319005,SHEL
2021-11-11,37.16202926635742,37.67431989990275,37.15363247726293,37.371984233963964,3845773,SHEL
2021-11-12,37.094844818115234,37.21242229954004,36.926883394825964,36.994067323409915,2812039,SHEL
2021-11-15,38.02705001831055,38.24960181417301,37.4223817738459,37.69532072127924,5912843,SHEL
2021-11-16,38.287391662597656,38.56453058029603,38.24120130903812,38.37977236971674,4814834,SHEL
2021-11-17,38.07743453979492,38.44695414389123,37.87587635341413,37.97665704843387,4750703,SHEL
2021-11-18,37.85068893432617,37.90107929002727,37.33420140394155,37.548353207438,4410293,SHEL
2021-11-19,36.28861999511719,36.842901045036946,36.14585213852311,36.6413460470619,4642181,SHEL
2021-11-22,36.221439361572266,36.59095902727653,35.8687132775125,35.88551006281622,5072671,SHEL
2021-11-23,37.019264221191406,37.136838499342865,36.44818640989108,36.49857355557953,4515299,SHEL
2021-11-24,37.15363311767578,37.194364433352064,36.616145700265236,36.616145700265236,3031828,SHEL
2021-11-26,35.33122253417969,35.39840966317039,34.81893188843081,35.07927720778183,7174453,SHEL
2021-11-29,35.650360107421875,36.523773687733694,35.608369747604,36.28862190616722,4648172,SHEL
2021-11-30,35.306026458740234,35.52437820515728,34.93230689029483,35.19684898370251,6551435,SHEL
2021-12-01,34.9281120300293,36.20883874189371,34.9029184565693,36.129054821058546,6006255,SHEL
2021-12-02,36.842899322509766,37.01086394874202,35.86031154508807,36.213034376882895,8238228,SHEL
2021-12-03,36.599361419677734,37.304807226698266,36.37680640256643,37.162039347751566,5333061,SHEL
2021-12-06,37.36359405517578,37.6491329897841,37.31320370071815,37.632336204964886,4270646,SHEL
2021-12-07,37.32159423828125,37.88007522622801,37.20401996790479,37.50635563667773,5092649,SHEL
2021-12-08,37.45596694946289,37.89267368995758,37.413976594420056,37.70371549043546,5591581,SHEL
2021-12-09,36.97726821899414,37.10324248221149,36.700129325038,37.061252129025235,3996704,SHEL
2021-12-10,37.07805633544922,37.24601778182641,36.725330250006806,37.187230634862544,4575450,SHEL
2021-12-13,35.9694938659668,36.40200067416181,35.86031636369666,36.297023169118006,4141180,SHEL
2021-12-14,35.8435173034668,36.401998363731344,35.76793337648619,35.85191409372731,4931628,SHEL
2021-12-15,35.9694938659668,36.08286816180406,35.30183526798539,35.759538855879185,4013304,SHEL
2021-12-16,35.99468231201172,36.55736012109676,35.965288742935016,36.20463729217636,4744518,SHEL
2021-12-17,35.36481475830078,35.90229895522047,35.35221797300712,35.84351182141104,5935715,SHEL
2021-12-20,35.21364974975586,35.23044653271314,34.62577516088616,35.01209155792727,4125955,SHEL
2021-12-21,36.15424346923828,36.259220949232386,35.59996250301574,35.59996250301574,4630759,SHEL
2021-12-22,36.5489616394043,36.64134233898522,35.91069673520443,36.11225491644086,3264642,SHEL
