,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,End Cash Position,Other Cash Adjustment Outside Changein Cash,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Net Other Financing Charges,Interest Paid Cff,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Net Other Investing Changes,Interest Received Cfi,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Capital Expenditure Reported,Operating Cash Flow,Taxes Refund Paid,Dividend Received Cfo,Change In Working Capital,Change In Payable,Change In Inventory,Change In Receivables,Other Non Cash Items,Depreciation And Amortization,Depreciation,Pension And Employee Benefit Expense,Gain Loss On Investment Securities,Net Income From Continuing Operations,Ticker
2025-12-31,23916000000.0,-13879000000.0,-11806000000.0,2920000000.0,-1300000000.0,-18947000000.0,30216000000.0,,39110000000.0,866000000.0,-9760000000.0,-35812000000.0,1238000000.0,-4104000000.0,-8472000000.0,-8472000000.0,-15179000000.0,-13879000000.0,-1300000000.0,-9148000000.0,-262000000.0,-8886000000.0,-11806000000.0,2920000000.0,-16811000000.0,-238000000.0,1956000000.0,-49000000.0,33000000.0,-82000000.0,-681000000.0,1205000000.0,-1886000000.0,1148000000.0,1148000000.0,-18947000000.0,42863000000.0,-11638000000.0,4572000000.0,-1803000000.0,-5959000000.0,1916000000.0,2240000000.0,1547000000.0,22167000000.0,22167000000.0,-341000000.0,-3288000000.0,29756000000.0,SHEL
2024-12-31,35086000000.0,-13898000000.0,-9672000000.0,363000000.0,-789000000.0,-19601000000.0,39110000000.0,,38774000000.0,-761000000.0,1097000000.0,-38435000000.0,-609000000.0,-4557000000.0,-8668000000.0,-8668000000.0,-14687000000.0,-14687000000.0,-789000000.0,-9619000000.0,-310000000.0,-9309000000.0,-9672000000.0,363000000.0,-15155000000.0,738000000.0,2399000000.0,502000000.0,582000000.0,-80000000.0,-814000000.0,590000000.0,-1404000000.0,1621000000.0,1621000000.0,-19601000000.0,54687000000.0,-12002000000.0,3632000000.0,2062000000.0,-5789000000.0,1273000000.0,6578000000.0,3126000000.0,22703000000.0,22703000000.0,-326000000.0,2772000000.0,29922000000.0,SHEL
2023-12-31,31198000000.0,-14617000000.0,-10650000000.0,1029000000.0,-889000000.0,-22993000000.0,38774000000.0,,40246000000.0,306000000.0,-1778000000.0,-38235000000.0,701000000.0,-4441000000.0,-8393000000.0,-8393000000.0,-15506000000.0,-14617000000.0,-889000000.0,-9832000000.0,-211000000.0,-9621000000.0,-10650000000.0,1029000000.0,-17734000000.0,1444000000.0,2124000000.0,-146000000.0,51000000.0,-197000000.0,-728000000.0,474000000.0,-1202000000.0,2565000000.0,2565000000.0,-22993000000.0,54191000000.0,-13712000000.0,3674000000.0,7145000000.0,-11581000000.0,6325000000.0,12401000000.0,2030000000.0,23106000000.0,23106000000.0,-37000000.0,-5969000000.0,32627000000.0,SHEL
2022-12-31,45814000000.0,-18437000000.0,-8459000000.0,269000000.0,-593000000.0,-22600000000.0,40246000000.0,1000000.0,36970000000.0,-736000000.0,4012000000.0,-41954000000.0,-3764000000.0,-3677000000.0,-7405000000.0,-7405000000.0,-19030000000.0,-18437000000.0,-593000000.0,-7872000000.0,318000000.0,-8190000000.0,-8459000000.0,269000000.0,-22448000000.0,-580000000.0,906000000.0,-143000000.0,117000000.0,-260000000.0,-1462000000.0,511000000.0,-1973000000.0,1431000000.0,1431000000.0,-22600000000.0,68414000000.0,-13120000000.0,4398000000.0,-5434000000.0,11915000000.0,-8360000000.0,-8989000000.0,5161000000.0,22393000000.0,22393000000.0,417000000.0,-3261000000.0,64815000000.0,SHEL
