,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Net Other Financing Charges,Cash Dividends Paid,Preferred Stock Dividend Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Capital Expenditure Reported,Operating Cash Flow,Taxes Refund Paid,Interest Received Cfo,Interest Paid Cfo,Dividend Received Cfo,Change In Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Inventory,Other Non Cash Items,Stock Based Compensation,Provisionand Write Offof Assets,Depreciation And Amortization,Depreciation,Pension And Employee Benefit Expense,Gain Loss On Investment Securities,Net Income From Continuing Operations,Ticker
2025-12-31,11272000000.0,-4486000000.0,-5695000000.0,2724000000.0,-13221000000.0,36624000000.0,39269000000.0,246000000.0,-2891000000.0,-15880000000.0,576000000.0,-5059000000.0,-1000000.0,-5058000000.0,-4486000000.0,-4486000000.0,-3314000000.0,-343000000.0,-2971000000.0,-5695000000.0,2724000000.0,-11504000000.0,402000000.0,1714000000.0,-1312000000.0,1142000000.0,1142000000.0,,-13221000000.0,24493000000.0,-6589000000.0,1223000000.0,-3538000000.0,2111000000.0,-4820000000.0,-2156000000.0,-4286000000.0,1622000000.0,3544000000.0,1077000000.0,1294000000.0,17822000000.0,17822000000.0,-152000000.0,,7746000000.0,BP
2024-12-31,12000000000.0,-7127000000.0,-2970000000.0,10656000000.0,-15297000000.0,39269000000.0,33030000000.0,-511000000.0,6750000000.0,-7297000000.0,3321000000.0,-5003000000.0,-1000000.0,-5002000000.0,-7127000000.0,-7127000000.0,4720000000.0,-2966000000.0,7686000000.0,-2970000000.0,10656000000.0,-13250000000.0,1638000000.0,2631000000.0,-993000000.0,328000000.0,328000000.0,,-15297000000.0,27297000000.0,-8761000000.0,1450000000.0,-2811000000.0,2023000000.0,3975000000.0,-188000000.0,3355000000.0,808000000.0,3003000000.0,1174000000.0,-152000000.0,16622000000.0,16622000000.0,-182000000.0,,6782000000.0,BP
2023-12-31,17754000000.0,-7918000000.0,-3902000000.0,7568000000.0,-14285000000.0,33030000000.0,29195000000.0,27000000.0,3808000000.0,-13359000000.0,-474000000.0,-4809000000.0,-1000000.0,-4808000000.0,-7918000000.0,-7918000000.0,2805000000.0,-861000000.0,3666000000.0,-3902000000.0,7568000000.0,-14872000000.0,-775000000.0,1193000000.0,-1968000000.0,133000000.0,133000000.0,,-14285000000.0,32039000000.0,-10173000000.0,1119000000.0,-2950000000.0,2092000000.0,-3338000000.0,-13592000000.0,4620000000.0,5634000000.0,2334000000.0,616000000.0,-2481000000.0,15928000000.0,15928000000.0,-193000000.0,-35000000.0,23749000000.0,BP
2022-12-31,28863000000.0,-9996000000.0,-11697000000.0,2013000000.0,-12069000000.0,29195000000.0,30681000000.0,-684000000.0,-802000000.0,-28021000000.0,-336000000.0,-4358000000.0,-1000000.0,-4357000000.0,-9996000000.0,-9996000000.0,-11076000000.0,-1392000000.0,-9684000000.0,-11697000000.0,2013000000.0,-13713000000.0,-2420000000.0,1841000000.0,-4261000000.0,709000000.0,709000000.0,,-12069000000.0,40932000000.0,-10106000000.0,414000000.0,-2208000000.0,1700000000.0,-6270000000.0,17806000000.0,-18584000000.0,-5492000000.0,2190000000.0,795000000.0,440000000.0,14318000000.0,14318000000.0,-257000000.0,43000000.0,15405000000.0,BP
2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10887000000.0,,,,,,,,,,,,,,,,,145000000.0,,BP
